U59;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1110001;Head of State;Emiliano Zapata;1909;1919;1999;SD;Revolutionary Guerilla Fighter;Very High;8369;X
1110002;Head of Government;Emiliano Zapata;1909;1919;1999;SD;Revolutionary leader;Very High;8369;X
1110003;Chief of Staff;Manuel Palafox;1914;1930;1999;LWR;school of mass combat;High;8368;X
1110004;Chief of Army;Manuel Palafox;1914;1930;1999;LWR;decisive battle doctrine;High;8368;X
1110005;Chief of Navy;Manuel Palafox;1914;1930;1999;LWR;decisive naval battle doctrine;High;8368;X
1110006;Chief of Air Force;Manuel Palafox;1914;1930;1999;LWR;army aviation doctrine;High;8368;X
1110007;Minister of Armament;Eufemio Zapata;1910;1917;1999;SD;infantry proponent;Very High;8371;X
1110008;Foreign Minister;Gildardo Magaña Cerda;1911;1939;1999;SD;great compromiser;Very High;8373;X
1110009;Head of Government;Paulino Martínez ;1912;1914;1999;ML;naive optimist;Very High;8324;X
1110010;Chief of Staff;Amador Salazar Jiménez;1910;1916;1999;SD;school of psychology;Very High;908;X
1110011;Chief of Army;Amador Salazar Jiménez;1910;1916;1999;SD;decisive battle doctrine;Very High;908;X
1110012;Chief of Navy;Amador Salazar Jiménez;1910;1916;1999;SD;Power Projection Doctrine;Very High;908;X
1110013;Chief of Air Force;Amador Salazar Jiménez;1910;1916;1999;SD;Army Aviation Doctrine;Very High;908;X
1110014;Minister of Armament;Felipe Neri;1911;1913;1999;LWR;Industrial chemist;Medium;2842;X
1110015;Chief of Staff;Otilio Montaño Sánchez;1911;1917;1999;SD;school of psychology;Very High;8372;X
1110016;Foreign Minister;Eufemio Zapata;1910;1917;1999;SD;apologetic clerk;Very High;8371;X
1110017;Chief of Army;Genovevo de la O;1910;1941;1999;SD;static defence doctrine;Very High;6073;X
1110018;Minister of Armament;James Sosa Manuel Pavón;1915;1919;1999;SD;resource industrialist;Medium;unknownminister;X
1110019;Foreign Minister;Alfredo Serratos Amador;1912;1920;1999;SD;apologetic clerk;High;unknownminister;X
1110020;Chief of Navy;Alfredo Serratos Amador;1912;1920;1999;SD;decisive naval battle doctrine;High;unknownminister;X
1110021;Minister of Security;Alfredo Serratos Amador;1912;1920;1999;SD;crime fighter;High;unknownminister;X
1110022;Head of Government;Antonio Diaz Soto y Gama;1913;1928;1999;SL;silent workhorse;Very High;8370;X
1110023;Head of Military Intelligence;Antonio Diaz Soto y Gama;1913;1928;1999;SL;political specialist;Very High;8370;X
1110024;Chief of Army;Emiliano Zapata;1909;1919;1999;SD;guns and butter doctrine;Very High;8369;X
1110025;Head of State;Gildardo Magaña Cerda;1919;1939;1999;SD;benevolent gentleman;Very High;8373;X
1110026;Chief of Staff;Gildardo Magaña Cerda;1916;1939;1999;SD;school of psychology;Very High;8373;X
1110027;Head of State;Jesús Capistrán;1919;1920;1999;SD;resigned generalissimo;Very High;7229;X
1110028;Chief of Army;Timothy Sanchez;1911;1920;1999;SD;decisive battle doctrine;Very High;8350;X
1110029;Head of Government;Francisco Mendoza Palma;1914;1940;1999;SD;silent workhorse;Very High;3916;X
1110030;Minister of Armament;Serafín M. Robles Morales;1911;1955;1999;SD;military entrepreneur;Very High;8347;X
1110031;Chief of Navy;Serafín M. Robles Morales;1911;1955;1999;SD;Base Control Doctrine;Very High;8347;X
1110032;Chief of Air Force;Serafín M. Robles Morales;1911;1955;1999;SD;Army Aviation Doctrine;Very High;8347;X
1110033;Foreign Minister;Amelio Robles Avila ;1911;1970;1999;SD;ideological crusader;Very High;909;X
1110034;Chief of Army;Heliodoro Castillo;1912;1917;1999;SD;decisive battle doctrine;Medium;6614;X
1110035;Chief of Navy;Francisco V. Pacheco;1911;1916;1999;SD;decisive naval battle doctrine;High;8318;X
1110036;Chief of Army;Joaquín Caamaño;1911;1920;1999;SD;static defence doctrine;High;920;X
1110037;Chief of Army;Adrián Castrejón;1914;1925;1999;SD;guns and butter doctrine;High;928;x
1110038;Head of Government;Fortino Ayaquica Rangel;1914;1925;1999;SD;silent workhorse;Very High;914;x
1110039;Head of Military Intelligence;Emiliano Zapata;1913;1928;1999;SL;logistics specialist;Very High;8369;X
1110040;Chief of Air Force;Francisco V. Pacheco;1911;1916;1999;SD;army aviation doctrine;High;8318;X
