UGS;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1340001;Head of State;Boris Durov;1914;1977;1999;ML;benevolent gentleman;Medium;9094;X
1340002;Head of State;Evgeniy Miller;1914;1939;1999;ML;ruthless powermonger;Medium;9096;X
1340003;Head of Government;Nikolay Chaikovsky;1914;1926;1999;SD;silent workhorse;Medium;9555;X
1340004;Foreign Minister;Evgeniy Miller;1914;1939;1999;ML;great compromiser;Medium;9096;X
1340005;Foreign Minister;Nikolay Chaikovsky;1914;1926;1999;SD;apologetic clerk;Medium;9555;X
1340006;Minister of Armament;Nikolay Mefodiev;1914;1927;1999;ML;Construction magnate;Medium;unknownminister;X
1340007;Minister of Armament;Yakov Dedysenko;1914;1936;1999;ML;Oil baron;Medium;9104;X
1340008;Minister of Armament;Pyotr Zubov;1914;1942;1999;ML;laissez-faire capitalist;Medium;9099;X
1340009;Minister of Armament;Sergey Maslov;1914;1965;1999;SD;infantry proponent;Medium;unknownminister;X
1340010;Minister of Armament;Boris Durov;1914;1977;1999;ML;tank proponent;Medium;9094;X
1340011;Minister of Armament;Evgeniy Miller;1914;1939;1999;ML;military entrepreneur;Medium;9096;X
1340012;Minister of Security;Boris Durov;1914;1977;1999;ML;prince of terror;Medium;9094;X
1340013;Minister of Security;Pyotr Zubov;1914;1942;1999;ML;crime fighter;Medium;9099;X
1340014;Minister of Security;Vladimir Ignatev;1914;1945;1999;ML;silent lawyer;Medium;9101;X
1340015;Minister of Security;Ivan Bagrinovsky;1914;1945;1999;ML;back stabber;Medium;unknownminister;X
1340016;Minister of Security;Emmanuil Tizengauzen;1914;1945;1999;ML;efficient sociopath;Medium;9556;X
1340017;Head of Military Intelligence;Boris Durov;1914;1977;1999;ML;industrial specialist;Medium;9094;X
1340018;Head of Military Intelligence;Evgeniy Miller;1914;1939;1999;ML;political specialist;Medium;9096;X
1340019;Chief of Staff;Georgiy Chaplin;1914;1950;1999;ML;school of fire support;Medium;9097;X
1340020;Chief of Staff;Leonid Ivanov;1914;1940;1999;ML;school of manoeuvre;Medium;9098;X
1340021;Chief of Staff;Boris Durov;1914;1977;1999;ML;school of defence;Medium;9094;X
1340022;Chief of Staff;Vladimir Marushevsky;1914;1952;1999;ML;school of psychology;Medium;9102;X
1340023;Chief of Staff;Evgeniy Miller;1914;1939;1999;ML;school of mass combat;Medium;9096;X
1340024;Chief of Army;Georgiy Chaplin;1914;1950;1999;ML;guns and butter doctrine;Medium;9097;X
1340025;Chief of Army;Leonid Ivanov;1914;1940;1999;ML;armoured spearhead doctrine;Medium;9098;X
1340026;Chief of Army;Boris Durov;1914;1977;1999;ML;decisive battle doctrine;Medium;9094;X
1340027;Chief of Army;Vladimir Marushevsky;1914;1952;1999;ML;static defence doctrine;Medium;9102;X
1340028;Chief of Army;Evgeniy Miller;1914;1939;1999;ML;elastic defence doctrine;Medium;9096;X
1340029;Chief of Navy;Nikolay Vikorst;1914;1944;1999;ML;base control doctrine;Medium;unknownminister;X
1340030;Chief of Navy;Leonid Ivanov;1914;1940;1999;ML;open seas doctrine;Medium;9098;X
