USA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
240001;Head of State;Franklin D. Roosevelt;1932;1946;1946;SL;Democrat idealistic;High;3596;X
240002;Head of Government;John Nance Garner;1932;1942;1942;SL;Corporate Suit;High;M6002;X
240003;Foreign Minister;Cordell Hull;1933;1946;1946;SL;Father of United Nations;High;7374;X
240004;Minister of Armament;Henry Morgenthau;1933;1946;1946;SD;orthodox economist;High;M6077;X
240005;Minister of Security;J. Edgar Hoover;1933;1973;1973;SL;Director of FBI;Very High;M6005;X
240006;Head of Military Intelligence;William F. Friedman;1917;1957;1957;SL;Cryptographer;Very High;M6006;X
240007;Chief of Staff;Malin Craig;1935;1964;1964;SL;School of Defence;High;7375;X
240008;Chief of Army;Malin Craig;1935;1946;1946;SL;Armoured Spearhead Doctrine;High;7375;X
240009;Chief of Navy;Claude A. Swanson;1933;1940;1940;SL;Decisive Naval Battle Doctrine;High;M6009;X
240010;Chief of Air Force;Oscar Westover;1933;1939;1939;SD;Air Superiority Doctrine;High;M6010;X
240011;Head of State;Henry A. Wallace;1940;1956;1956;SL;Benevolent Gentleman;High;7377;X
240012;Head of State;Warren G. Hooper;1944;1946;1946;SL;Ruthless Powermonger;High;M6033;X
240013;Head of State;Harry S. Truman;1944;1953;1953;SL;Die-hard Reformer;High;M6034;X
240014;Head of State;Alf M. Landon;1936;1988;1988;ML;Pig-headed Isolationist;High;M6035;X
240015;Head of State;Wendell Willkie;1940;1945;1945;ML;Autocratic Charmer;High;M6036;X
240016;Head of State;Charles McNary;1940;1945;1945;ML;Insignificant Layman;High;M6037;X
240017;Head of State;Thomas E. Dewey;1944;1957;1957;ML;Popular Figurehead;High;M6038;X
240018;Head of State;Fritz Kuhn;1933;1952;1952;FA;Barking Buffoon;High;M6011;X
240019;Head of State;Gerald K. Smith;1933;1977;1977;PA;Powerhungry Demagogue;High;M6040;X
240020;Head of State;Earl Browder;1933;1964;1964;ST;Ruthless Powermonger;High;M6041;X
240021;Head of State;Norman Thomas;1928;1964;1964;LWR;Insignificant Layman;High;M6021;X
240022;Head of Government;Henry A. Wallace;1940;1956;1956;SL;Silent Workhorse;High;7377;X
240023;Head of Government;Joel B. Clark;1940;1964;1964;SL;Backroom Backstabber;High;M6045;X
240024;Head of Government;Harry S. Truman;1944;1953;1953;SL;Flamboyant Tough Guy;High;M6034;X
240025;Head of Government;Alben W. Barkley;1945;1964;1964;SL;Silent Workhorse;High;M6047;X
240026;Head of Government;Frank Knox;1933;1945;1945;ML;Naive Optimist;High;M6048;X
240027;Head of Government;Charles McNary;1940;1945;1945;ML;Political Protege;High;M6037;X
240028;Head of Government;John Bricker;1944;1964;1964;ML;Corporate Suit;High;M6050;X
240029;Head of Government;Strom Thurmond;1944;1964;1964;SC;Old General;High;M6051;X
240030;Head of Government;H.R. Mengert;1933;1964;1964;PA;old airmarshal;High;M6052;X
240031;Head of Government;Gerald K. Smith;1933;1977;1977;PA;Happy Amateur;High;M6040;X
240032;Head of Government;Dr. Samuel Green;1944;1950;1950;PA;Old Admiral;High;M6054;X
240033;Head of Government;William Z. Foster;1923;1962;1962;ST;Political Protege;High;M6055;X
240034;Head of Government;James Cannon;1928;1975;1975;LWR;Smiling Oilman;High;M6056;X
240035;Head of Government;Joseph P. Lash;1940;1988;1988;LE;Naive Optimist;High;M6024;X
240036;Foreign Minister;Edward Stettinius;1944;1950;1950;SL;Ambassador to UN;Very High;M6060;X
240037;Foreign Minister;Henry L. Stimson;1928;1946;1946;SL;Apologetic Clerk;High;M6061;X
240038;Foreign Minister;Walker Lyerly;1944;1964;1964;SL;The Cloak N Dagger Schemer;High;M6062;X
240039;Foreign Minister;James Byrnes;1945;1955;1955;SD;Great Compromiser;Very High;M6063;X
240040;Foreign Minister;George C. Marshall;1947;1960;1960;SL;Ideological Crusader;High;M6064;X
240041;Foreign Minister;Arthur Vandenberg;1929;1952;1952;ML;Iron Fisted Brute;High;M6066;X
240042;Foreign Minister;Alfred E. Smith;1928;1945;1945;ML;Apologetic Clerk;High;M6067;X
240043;Foreign Minister;Gerald Nye;1940;1972;1972;ML;Biased Intellectual;High;M6068;X
240044;Foreign Minister;Ezra Pound;1933;1973;1973;FA;Biased Intellectual;High;M6069;X
240045;Foreign Minister;Charles Coughlin;1928;1980;1980;PA;Ideological Crusader;High;M6013;X
240046;Foreign Minister;Lawrence Dennis;1930;1978;1978;FA;Ideological Crusader;High;M6071;X
240047;Foreign Minister;Floyd B. Olson;1933;1937;1937;LWR;Ideological Crusader;Low;M6072;X
240048;Foreign Minister;Sam Darcy;1937;1964;1964;ST;Ideological Crusader;Low;M6073;X
240049;Foreign Minister;James Paul Warburg;1940;1970;1970;LE;Ideological Crusader;High;M6023;X
240050;Foreign Minister;Robert Minor;1920;1953;1953;ST;General Staffer;High;M6075;X
240051;Foreign Minister;Eugene Dennis;1926;1962;1962;LE;Biased Intellectual;High;M6076;X
240052;Minister of Armament;George H. Dern;1933;1937;1937;SD;Military Entrepreneur;High;M6004;X
240053;Minister of Armament;Harry L. Hopkins;1938;1947;1947;SL;laissez-faire capitalist;High;M6078;X
240054;Minister of Armament;Jesse H. Jones;1940;1957;1957;SL;Construction magnate;Very High;M6079;X
240055;Minister of Armament;Leroy Grumman;1940;1967;1967;SD;Air Superiority Proponent;Very High;M6080;X
240056;Minister of Armament;Preston T. Tucker;1944;1951;1951;SL;Strategic Air Proponent;Very High;M6081;X
240057;Minister of Armament;Henry J. Kaiser;1944;1968;1968;SL;Administrative Genius;Very High;M6082;X
240058;Minister of Armament;Robert P. Patterson;1945;1953;1953;SL;Tank Proponent;High;M6083;X
240059;Minister of Armament;Kenneth C. Royall;1947;1972;1972;SD;laissez-faire capitalist;High;M6084;X
240060;Minister of Armament;Daniel C. Roper;1933;1944;1944;ML;Air Superiority Proponent;Very High;M6085;X
240061;Minister of Armament;James M. Cox;1939;1958;1958;ML;Military Entrepreneur;Very High;M6086;X
240062;Minister of Armament;Warren G. Hooper;1940;1946;1946;ML;Corrupt Kleptocrat;Low;M6033;X
240063;Minister of Armament;Harry H. Woodring;1933;1968;1968;ML;Strategic Air Proponent;High;M6089;X
240064;Minister of Armament;John D. Rockefeller Jr.;1944;1961;1961;ML;Oil baron;High;M6090;X
240065;Minister of Armament;Frederick Vinson;1945;1954;1954;ML;Keynesian economy;Very High;M6091;X
240066;Minister of Armament;Louis Johnson;1945;1951;1951;ML;Battle Fleet Proponent;High;M6092;X
240067;Minister of Armament;Norman H. Davis;1922;1945;1945;ML;Balanced budget economy;Very High;M6093;X
240068;Minister of Armament;William D. Pelley;1933;1966;1966;FA;Air to Sea Proponent;Very High;M6094;X
240069;Minister of Armament;Francis Townsend;1940;1961;1961;PA;Resource Industrialist;Very High;M6095;X
240070;Minister of Armament;Henry Ford;1928;1948;1948;PA;Administrative Genius;Very High;M6014;X
240071;Minister of Armament;William F. Lemke;1944;1951;1951;PA;Theoretical Scientist;High;M6097;X
240072;Minister of Armament;Wyndham Mortimer;1933;1967;1967;LWR;Resource Industrialist;Low;M6098;X
240073;Minister of Armament;Elizabeth Gurley Flynn;1938;1965;1965;ST;Battle Fleet Proponent;Very High;M6099;X
240074;Minister of Armament;Upton Sinclair;1940;1969;1969;ST;Air to Ground Proponent;High;M6100;X
240075;Minister of Armament;Lemart Harris;1944;1964;1964;LWR;Resource Industrialist;Very High;M6101;X
240076;Minister of Armament;Walther Reuther;1946;1971;1971;LWR;Resource Industrialist;Very High;M6102;X
240077;Minister of Security;Victor Selden Clark;1940;1946;1946;SL;Health and safety;Very High;M6104;X
240078;Minister of Security;Henry Chalmers;1944;1964;1964;SD;Man of the People;Very High;M6105;X
240079;Minister of Security;Francis B. Biddle;1944;1969;1969;SL;Prince of Terror;Very High;M6106;X
240080;Minister of Security;Frank Murphy;1933;1950;1950;ML;Crime Fighter;Very High;M6107;X
240081;Minister of Security;Robert H. Jackson;1939;1955;1955;ML;Silent Lawyer;Very High;M6108;X
240082;Minister of Security;Hugh Simons Gibson;1944;1955;1955;ML;Compassionate Gentleman;Very High;M6110;X
240083;Minister of Security;Fritz Kuhn;1933;1952;1952;FA;Prince of Terror;Medium;M6011;X
240084;Minister of Security;Dr. Samuel Green;1940;1950;1950;FA;Man of the People;Medium;M6054;X
240085;Minister of Security;Samuel Roper;1944;1987;1987;PA;Back Stabber;Medium;M6113;X
240086;Minister of Security;William Aalto;1933;1959;1959;LWR;Back Stabber;Medium;M6114;X
240087;Minister of Security;Charles Chaplin;1937;1978;1978;LWR;Man of the People;Medium;M6115;X
240088;Minister of Security;Raymond Charles Moley;1939;1976;1976;LE;Prince of Terror;Low;M6116;X
240089;Minister of Security;John Abt;1940;1992;1992;LE;Efficient Sociopath;Medium;M6029;X
240090;Minister of Security;Daniel Hoan;1928;1961;1961;LWR;Silent Lawyer;Medium;M6025;X
240091;Minister of Security;Jessica Smith;1944;1984;1984;LE;Compassionate Gentleman;Medium;M6119;X
240092;Head of Military Intelligence;Henry J. Kaiser;1942;1968;1968;SL;Industrial Specialist;High;M6082;X
240093;Head of Military Intelligence;Adolf Berle;1939;1972;1972;SL;Political Specialist;Very High;M6123;X
240094;Head of Military Intelligence;Vincent Astor;1937;1960;1960;SL;Dismal Enigma;Very High;M6124;X
240095;Head of Military Intelligence;J. Edgar Hoover;1944;1973;1973;SL;Political Specialist;Very High;M6005;X
240096;Head of Military Intelligence;Sidney Souers;1945;1974;1974;SD;Naval Intelligence Specialist;Very High;M6126;X
240097;Head of Military Intelligence;Roscoe H. Hillenkoetter;1947;1983;1983;SL;Dismal Enigma;Very High;M6127;X
240098;Head of Military Intelligence;William J. Donovan;1940;1960;1960;ML;Political Specialist;High;M6128;X
240099;Head of Military Intelligence;Hoyt S. Vandenberg;1942;1955;1955;ML;Technical Specialist;High;M6130;X
240100;Head of Military Intelligence;Henry Cabot Lodge jr.;1944;1986;1986;ML;Dismal Enigma;High;M6131;X
240101;Head of Military Intelligence;Dr. Hiram W. Evans;1933;1967;1967;FA;Political Specialist;High;M6132;X
240102;Head of Military Intelligence;Dr. James A. Colescott;1940;1951;1951;FA;Political Specialist;High;M6016;X
240103;Head of Military Intelligence;Harry Haywood;1923;1986;1986;LE;Dismal Enigma;High;M6026;X
240104;Chief of Staff;George C. Marshall;1939;1960;1960;SL;School of Fire Support;High;M6064;X
240105;Chief of Staff;Dwight D. Eisenhower;1942;1970;1970;ML;School of Manoeuvre;High;M6137;X
240106;Chief of Staff;Parker Sage;1933;1964;1964;FA;School of Defence;High;M6017;X
240107;Chief of Staff;Hans Amlie;1924;1950;1950;ST;School of Defence;High;M6027;X
240108;Chief of Army;David McKenzie Key;1940;1964;1964;SD;Static Defence Doctrine;High;M6143;X
240109;Chief of Army;George C. Marshall;1939;1960;1960;SL;Decisive Battle Doctrine;High;M6064;X
240110;Chief of Army;Omar N. Bradley;1944;1954;1954;SD;Armoured Spearhead Doctrine;High;M6145;X
240111;Chief of Army;Dwight D. Eisenhower;1942;1970;1970;ML;Guns and Butter Doctrine;High;M6137;X
240112;Chief of Army;George Van Horn Moseley;1932;1961;1961;NS;Armoured Spearhead Doctrine;High;9709;X
240113;Chief of Army;Oliver Law;1924;1938;1976;ST;Decisive Battle Doctrine;High;M6149;X
240114;Chief of Army;Steve Nelson;1924;1976;1976;ST;Static Defence Doctrine;High;M6150;X
240115;Chief of Army;Robert Merriman;1937;1939;1984;ST;Armoured Spearhead Doctrine;High;M6028;X
240116;Chief of Navy;Frank Knox;1940;1945;1945;SL;Power Projection Doctrine;High;M6048;X
240117;Chief of Navy;Charles Edison;1940;1970;1970;SD;Open Seas Doctrine;High;M6154;X
240118;Chief of Navy;James V. Forrestal;1944;1950;1950;SL;Decisive Naval Battle Doctrine;High;M6155;X
240119;Chief of Navy;Chester W. Nimitz;1941;1967;1967;SL;Power Projection Doctrine;High;M6156;X
240120;Chief of Navy;William C. Bullitt;1947;1968;1968;SL;Base Control Doctrine;High;M6157;X
240121;Chief of Navy;William H. Standley;1933;1964;1964;SL;Base Control Doctrine;High;M6158;X
240122;Chief of Navy;Harold R. Stark;1939;1947;1947;SL;Open Seas Doctrine;High;M6159;X
240123;Chief of Navy;Andrew J. Higgins;1943;1953;1953;ML;Base Control Doctrine;High;M6160;X
240124;Chief of Navy;Henry J. Kaiser;1940;1968;1968;ML;Open Seas Doctrine;High;M6082;X
240125;Chief of Navy;William D. Leahy;1933;1960;1960;ML;Decisive Naval Battle Doctrine;Very High;M6162;X
240126;Chief of Navy;Ernest J. King;1941;1957;1957;ML;Power Projection Doctrine;High;M6163;X
240127;Chief of Navy;Dr. James A. Colescott;1933;1951;1951;NS;Open Seas Doctrine;High;M6016;X
240128;Chief of Navy;John Abt;1924;1992;1992;ST;Base Control Doctrine;Medium;M6029;X
240129;Chief of Air Force;Henry H. Arnold;1938;1951;1951;ML;Carpet Bombing Doctrine;High;M6167;X
240130;Chief of Air Force;Leroy Grumman;1944;1967;1967;ML;Naval Aviation Doctrine;High;M6080;X
240131;Chief of Air Force;Charles Lindbergh;1924;1975;1975;FA;Air Superiority Doctrine;High;M6020;X
240132;Chief of Air Force;Nathan B. Forrest III;1940;1944;1981;NS;Army Aviation Doctrine;High;M6173;X
240133;Chief of Air Force;Martin J. Monti;1943;2001;2001;FA;Naval Aviation Doctrine;High;M6174;X
240134;Chief of Air Force;John Abt;1924;1992;1992;ST;Army Aviation Doctrine;Medium;M6029;X
240135;Chief of Staff;William D. Leahy;1941;1960;1960;ML;School of Manoeuvre;Very High;M6162;X
240136;Minister of Armament;Averell H. Harriman;1946;1987;1987;SD;Resource Industrialist;High;M6177;X
240137;Chief of Navy;Thomas C. Hart;1940;1972;1972;ML;Decisive Naval Battle Doctrine;Medium;L60417;X
240138;Chief of Air Force;Carl A. Spaatz;1942;1975;1975;ML;Army Aviation Doctrine;Very High;L60557;X
240139;Chief of Air Force;Ira C. Eaker;1944;1988;1988;SL;Carpet Bombing Doctrine;Very High;L60506;X
240140;Chief of Staff;Douglas MacArthur;1930;1965;1965;ML;School of Psychology;High;L60250;X
240141;Chief of Army;Douglas MacArthur;1930;1965;1965;ML;Elastic Defence Doctrine;High;L60250;X
