VIC;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
230001;Head of State;Phillipe Petain;1933;1964;1999;PA;Resigned Generalissimo;High;2564;X
230002;Head of Government;Jean-Francois Darlan;1933;1964;1999;PA;Old Admiral;High;M57002;X
230003;Foreign Minister;Paul Baudouin;1933;1964;1999;PA;Iron Fisted Brute;Medium;M57003;X
230004;Minister of Armament;Marius Berliet;1933;1964;1999;PA;laissez-faire capitalist;Medium;M57004;X
230005;Minister of Security;Joseph Barthélemy;1933;1964;1999;PA;Silent Lawyer;Medium;M57005;X
230006;Head of Military Intelligence;Rene Bousquet;1933;1964;1999;PA;Technical Specialist;Medium;M57006;X
230007;Chief of Staff;Charles Huntziger;1933;1964;1999;PA;School of Defence;Medium;M57007;X
230008;Chief of Army;Maxime Weygand;1933;1964;1999;PA;Elastic Defence Doctrine;Medium;M57008;X
230009;Chief of Navy;Jean-Francois Darlan;1933;1964;1999;PA;Decisive Naval Battle Doctrine;Low;M57002;X
230010;Chief of Air Force;Jean Marie Bergeret;1933;1964;1999;PA;Army Aviation Doctrine;Medium;M57010;X
230011;Head of Government;Pierre Laval;1942;1964;1999;PA;Flamboyant Tough Guy;High;M57011;X
230012;Foreign Minister;Jean-Francois Darlan;1941;1964;1999;PA;General Staffer;Low;M57002;X
230013;Foreign Minister;Charles André Weiss;1941;1964;1999;PA;Iron Fisted Brute;Low;M57013;X
230014;Foreign Minister;Albert Thomas;1941;1964;1999;PA;The Cloak N Dagger Schemer;Low;M57014;X
230015;Foreign Minister;Pierre Laval;1942;1964;1999;PA;Apologetic Clerk;Medium;M57011;X
230016;Foreign Minister;Gabriel Hanoteaux;1942;1964;1999;PA;Ideological Crusader;Medium;M57016;X
230017;Foreign Minister;Henri de Jouvenel;1943;1964;1999;PA;Biased Intellectual;Medium;M57017;X
230018;Foreign Minister;Arne Leroy;1943;1964;1999;PA;Great Compromiser;Medium;M57018;X
230019;Minister of Armament;Tulio Franco Franco;1941;1964;1999;PA;Resource Industrialist;Medium;M57019;X
230020;Minister of Armament;Lucien Lacaze;1941;1964;1999;PA;Military Entrepreneur;Medium;M57020;X
230021;Minister of Armament;Robert Haas;1942;1964;1999;PA;laissez-faire capitalist;Medium;M57021;X
230022;Minister of Armament;Stephane Auphan;1942;1964;1999;PA;Air to Sea Proponent;Medium;M57022;X
230023;Minister of Armament;Paul Painleve;1943;1964;1999;PA;Administrative Genius;Medium;M57023;X
230024;Minister of Armament;Paul Mantoux;1943;1964;1999;PA;Theoretical Scientist;Medium;M57024;X
230025;Minister of Security;Jean-Francois Darlan;1940;1964;1999;PA;Back Stabber;Low;M57002;X
230026;Minister of Security;Eduard Herriot;1941;1964;1999;PA;Silent Lawyer;Low;M57026;X
230027;Minister of Security;Pierre Laval;1942;1964;1999;PA;Prince of Terror;Medium;M57011;X
230028;Minister of Security;Marius Viple;1942;1964;1999;PA;Man of the People;Medium;M57028;X
230029;Minister of Security;René Bousquet;1942;1964;1999;PA;Compassionate Gentleman;Medium;M57006;X
230030;Minister of Security;Raphael Alibert;1943;1964;1999;PA;Crime Fighter;Medium;M57030;X
230031;Minister of Security;Gouffre de Lapradelle;1943;1964;1999;PA;Efficient Sociopath;Medium;M57031;X
230032;Head of Military Intelligence;Pierre Laval;1942;1964;1999;PA;Political Specialist;Medium;M57011;X
230033;Chief of Staff;Jean-Francois Darlan;1941;1964;1999;PA;School of Psychology;Low;M57002;X
230034;Chief of Staff;Eugene Bridoux;1942;1964;1999;PA;School of Mass Combat;Medium;M57034;X
230035;Chief of Army;Eugene Bridoux;1941;1964;1999;PA;Decisive Battle Doctrine;Medium;M57034;X
230036;Chief of Navy;Jean Esteva;1942;1964;1999;PA;Indirect Approach Doctrine;Medium;M57036;X
230037;Chief of Navy;Jean Marie Abrial;1943;1964;1999;PA;Open Seas Doctrine;Medium;M57037;X
230038;Chief of Air Force;Maurice Jannekeyn;1942;1964;1999;PA;Carpet Bombing Doctrine;Medium;M57038;X
230039;Head of State;Henri de Jouvenel;1945;1964;1999;PA;Insignificant Layman;High;M57017;X
230040;Head of Military Intelligence;Gouffre de Lapradelle;1945;1964;1999;PA;Industrial Specialist;Medium;M57031;X
