VIE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
790001;Head of State;H.M. Bao Dai;1925;1964;1999;SL;Weary Stiffneck;High;M542001;X
790002;Head of Government;René Robin;1933;1964;1999;SL;Flamboyant Tough Guy;High;M542002;X
790003;Foreign Minister;Tong Doc Phuong;1933;1964;1999;SL;The Cloak N Dagger Schemer;High;M542003;X
790004;Minister of Armament;Nguyen Van Tam;1933;1964;1999;SL;Resource Industrialist;Medium;M542004;X
790005;Minister of Security;Ho Dac Trung;1933;1964;1999;SL;Man of the People;Medium;M542005;X
790006;Head of Military Intelligence;Jean Decoux;1933;1964;1999;SL;Logistics Specialist;Medium;M542006;X
790007;Chief of Staff;Georges Catroux;1933;1964;1999;SL;School of Manoeuvre;Medium;L24029;X
790008;Chief of Army;Guy de Beauharné;1933;1964;1999;SL;Static Defence Doctrine;Medium;M542008;X
790009;Chief of Navy;Pierre Pasquier;1933;1964;1999;SL;Decisive Naval Battle Doctrine;Medium;M542009;X
790010;Chief of Air Force;Jules Brévié;1933;1964;1999;SL;Army Aviation Doctrine;Medium;M542010;X
790011;Head of State;Ho Chi Minh;1933;1964;1999;LE;Ruthless Powermonger;High;M542012;X
790012;Head of Government;Jules Brévié;1933;1964;1999;SL;old airmarshal;High;M542010;X
790013;Head of Government;Georges Catroux;1939;1964;1999;SL;Old General;High;L24029;X
790014;Head of Government;Jean Decoux;1940;1964;1999;SL;Naive Optimist;High;M542006;X
790015;Head of Government;Georges Thierry d'Argenlieu;1945;1964;1999;SL;Old Admiral;High;L24173;X
790016;Head of Government;Emilé Bollaert;1947;1964;1999;SL;Corporate Suit;High;M542017;X
790017;Head of Government;Ngo Dinh Diem;1933;1964;1999;PA;Smiling Oilman;High;M542018;X
790018;Head of Government;Truong Tchin;1933;1964;1999;LE;Backroom Backstabber;High;M542019;X
790019;Foreign Minister;Louis Jauffré;1938;1964;1999;SL;Great Compromiser;High;M542020;X
790020;Foreign Minister;Leonce Jore;1940;1964;1999;SL;General Staffer;High;M542021;X
790021;Foreign Minister;Ngo Dinh Diem;1943;1964;1999;SL;Iron Fisted Brute;High;M542018;X
790022;Foreign Minister;Nguyen Van Xuan;1933;1964;1999;PA;Apologetic Clerk;High;6400;X
790023;Foreign Minister;Pham Van Dong;1933;1964;1999;LE;Ideological Crusader;High;M542024;X
790024;Minister of Armament;Nguyen Van Thinh;1941;1964;1999;SL;Battle Fleet Proponent;Medium;M542025;X
790025;Minister of Armament;Pierre Lefaucheaux;1943;1964;1999;SL;Administrative Genius;Medium;M542026;X
