YUG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
100001;Head of State;Pavle Karadjordjevic;1933;1964;1999;PA;Benevolent Gentleman;High;3691;X
100002;Head of Government;Milan Stojadinovic;1933;1964;1999;PA;Silent Workhorse;High;M20002;X
100003;Foreign Minister;Milan Stojadinovic;1933;1964;1999;PA;The Cloak N Dagger Schemer;Medium;M20002;X
100004;Minister of Armament;Boguljub Jevtic;1933;1964;1999;PA;Corrupt Kleptocrat;Medium;M20004;X
100005;Minister of Security;Pavle Karadjordjevic;1933;1964;1999;PA;Prince of Terror;High;3691;X
100006;Head of Military Intelligence;Borivoje Josimovic;1933;1964;1999;PA;Political Specialist;Medium;L46013;X
100007;Chief of Staff;Petar Kosic;1933;1964;1999;PA;School of Mass Combat;Medium;L46015;X
100008;Chief of Army;Aleksandar Cincar-Markovic;1933;1964;1999;PA;Decisive Battle Doctrine;Very High;L46005;X
100009;Chief of Navy;Bogoljub Ilic;1933;1964;1999;PA;Base Control Doctrine;Very High;L46043;X
100010;Chief of Air Force;Dusan Simovic;1933;1964;1999;PA;Army Aviation Doctrine;Medium;L46060;X
100011;Head of State;Josip Broz;1933;1964;1999;LWR;Powerhungry Demagogue;High;M20021;X
100012;Head of Government;Dragisa Cvetkovic;1939;1964;1999;PA;Naive Optimist;High;M20032;X
100013;Head of Government;Dusan Simovic;1941;1964;1999;SC;Happy Amateur;High;M20033;X
100014;Head of Government;Slobodan Jovanovic;1942;1964;1999;FA;Political Protege;High;M20034;X
100015;Head of Government;Milos Trifunovic;1943;1964;1999;NS;Old General;High;M20035;X
100016;Head of Government;Ivan Subasic;1944;1964;1999;ML;Corporate Suit;High;M20014;X
100017;Head of Government;Josip Broz;1933;1964;1999;LWR;Backroom Backstabber;High;M20021;X
100018;Head of Government;Vlatko Macek;1933;1964;1999;SD;old airmarshal;High;M20038;X
100019;Foreign Minister;Aleksandar Cincar-Markovic;1939;1964;1999;PA;General Staffer;Very High;L46005;X
100020;Foreign Minister;Momcilo Nincic;1941;1964;1999;SC;Great Compromiser;Medium;M20013;X
100021;Foreign Minister;Slobodan Jovanovic;1943;1964;1999;FA;Biased Intellectual;High;M20034;X
100022;Foreign Minister;Milan Grol;1943;1964;1999;NS;Apologetic Clerk;High;M20042;X
100023;Foreign Minister;Bozidar Puric;1943;1964;1999;NS;Ideological Crusader;High;M20043;X
100024;Foreign Minister;Ivan Subasic;1944;1964;1999;ML;Apologetic Clerk;Medium;M20014;X
100025;Foreign Minister;Stanoje Simic;1933;1964;1999;LWR;Great Compromiser;Medium;M20023;X
100026;Foreign Minister;Vlatko Macek;1933;1964;1999;SD;Apologetic Clerk;Medium;M20038;X
100027;Foreign Minister;Edvard Kardelj;1941;1964;1999;SD;Ideological Crusader;Very High;M20047;X
100028;Foreign Minister;Dimitrije Ljotic;1943;1964;1999;NS;Iron Fisted Brute;Medium;M20048;X
100029;Minister of Armament;Edo Bogdan Markovic;1939;1964;1999;PA;Resource Industrialist;Medium;M20049;X
