U05;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
840001;Artillerie Inrichtingen Hembrug;T2300;4;1914;2000;artillery;chemistry;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
840002;DAF;T2301;5;1914;2000;mechanics;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
840003;Fokker;T2302;6;1914;2000;mechanics;aeronautics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
840004;HIH Siderius;T2303;5;1914;2000;artillery;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
840005;Koninklijke Maatschappij;T2304;5;1914;2000;naval_engineering;electronics;technical_efficiency;aeronautics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
840006;Koolhoven;T2305;5;1914;1966;aeronautics;technical_efficiency;electronics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
840007;NSM Amsterdam;T2306;6;1914;2000;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
840008;Shell;T2307;7;1914;2000;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
840009;Wilton-Fijenoord;T2308;6;1914;2000;naval_engineering;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
840010;Izaak Reynders;T2309;4;1914;1940;training;infantry_focus;centralized_execution;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
840011;Johannes Furstner;T2310;4;1914;2000;training;large_taskforce_tactics;seamanship;small_taskforce_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
840012;Marius Raaijmakers;T2311;5;1914;1940;training;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
840013;Petrus Best;T2312;4;1937;2000;training;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
840014;Henri Winkelman;T2313;4;1936;2000;decentralized_execution;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
840015;Philips;T2314;7;1936;2000;electronics;mathematics;technical_efficiency;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
840016;Frits Zernike;T2316;6;1914;2000;electronics;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
