U09;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;X
860001;Austro-Daimler;T600;5;1899;2000;management;vehicle_engineering;naval_engineering;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
860002;Hirtenberger;T601;5;1930;2000;artillery;fighter_design;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
860003;Pintsch;T602;4;1930;2000;aeronautics;avionics;bomber_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
860004;Steyr;T603;7;1927;2000;munitions;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
860005;Alexander Löhr;T604;6;1930;1945;bomber_tactics;combined_arms_focus;training;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
860006;Johann Kubena;T605;3;1930;1945;large_unit_tactics;centralized_execution;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
860007;Julius Yllam;T606;4;1930;1942;fighter_tactics;centralized_execution;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
860008;Lothar Rendulic;T607;5;1930;1945;small_unit_tactics;decentralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
860009;Erwin Schrödinger;T608;6;1930;1960;nuclear_physics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
860010;Ministry of Defence;T609;5;1945;2000;small_unit_tactics;centralized_execution;infantry_focus;fighter_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
860011;Technische Universität Wien;T610;4;1930;2000;mathematics;chemistry;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
860012;Skoda;100674;7;1859;2000;industrial_engineering;technical_efficiency;artillery;mechanics;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
860013;Österreichische Aviatik;100024;5;1914;2000;vehicle_engineering;aeronautics;avionics;bomber_design;fighter_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
860014;Stabilimento Tecnico Triestino;100025;7;1857;2000;carrier_design;naval_artillery;naval_engineering;submarine_design;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
860015;Gunther Burstyn;100026;3;1911;1950;mathematics;mechanics;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
860016;Lorenz Böhler;100487;4;1911;1950;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
860017;k.u.k. Kriegsschule;100027;7;1865;2000;mountain_training;training;maneuver_tactics;centralized_execution;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
860018;Miklós Horthy;100505;4;1917;1945;large_taskforce_tactics;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
860019;Anton Haus;100488;7;1907;1917;large_taskforce_tactics;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
860020;Godwin Brumowski;100028;4;1916;1936;fighter_tactics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
860021;Österreichische Waffenfabriksgesellschaft;100029;5;1869;1926;chemistry;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
860022;k.u.k. Marine-Akademie;100030;6;1857;2000;naval_training;seamanship;marine_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
860023;k.u.k. Munitionsfabrik Wöllersdorf;100031;5;1895;2000;chemistry;artillery;general_equipment;munitions;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
860024;k. k. Technische Hochschule Wien;100489;4;1890;1929;industrial_engineering;management;mathematics;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
