BLR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
470001;Belarussian State University;T9700;3;1900;2000;management;chemistry;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
470002;Baranovichi Aviation Repair Plant;T9701;4;1900;2000;aeronautics;aircraft_testing;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
470003;Gomel Radio Plant;T9702;4;1900;2000;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
470004;Minsk Automobile Plant;T9703;5;1900;2000;mechanics;general_equipment;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
470005;Bronislav Kaminski;T9704;2;1930;2000;combined_arms_focus;small_unit_tactics;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
470006;Michal Vituška;T9709;3;1930;2000;infantry_focus;small_unit_tactics;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
470007;Belarussian Air Force;T9710;2;1930;2000;bomber_tactics;piloting;centralized_execution;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
470008;Pavel Osipovich Sukhoi;100611;4;1939;1961;training;technical_efficiency;aeronautics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
470009;Semyon Kosberg;100612;5;1946;1965;aeronautics;technical_efficiency;electronics;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
470010;Bronislav Kaminski;100613;3;1939;1955;decentralized_execution;small_unit_tactics;individual_courage;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
