BOL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
205001;Bolivian Oil;T5000;2;1900;1936;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
205002;Corporación Minera de Bolivia;T5001;3;1900;2000;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
205003;Empresa Nacional de Ferrocarriles;T5002;3;1900;2000;industrial_engineering;general_equipment;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
205004;Hochschild;T5003;4;1900;2000;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
205005;Patinos;T5004;4;1900;2000;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
205006;David Toro Ruilova;T5005;3;1930;1938;small_unit_tactics;centralized_execution;individual_courage;training;mountain_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
205007;Enrique Peñaranda;T5006;2;1930;1944;large_unit_tactics;centralized_execution;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
205008;Eusebio Ayala;T5007;2;1921;1936;large_taskforce_tactics;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
205009;Ministry of Defence;100036;3;1900;2000;small_unit_tactics;infantry_focus;centralized_execution;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
205010;Antofagasta and Bolivia Railway Company;100037;3;1890;2000;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
205011;Ejercito de Bolivia;100036;3;1890;2000;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
205012;Hans Kundt;100038;2;1921;1939;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
