CAL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
575001;Bethlehem Steel Corporation San Francisco;T10300;5;1900;2000;naval_engineering;technical_efficiency;naval_artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
575002;California Institute of Technology;T10301;4;1900;2000;mathematics;mechanics;chemistry;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
575003;California Shipbuilding Corporation;T10302;6;1900;2000;naval_engineering;technical_efficiency;naval_artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
575004;Camp Pendleton;T10303;6;1900;2000;artillery;general_equipment;naval_engineering;training;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
575005;Chrysler Motors of California;T10304;7;1900;2000;mechanics;industrial_engineering;technical_efficiency;management;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
575006;Lawrence Berkeley National Laboratory;T10305;6;1900;2000;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
575007;Lockheed;T10306;6;1900;2000;bomber_design;rocketry;aeronautics;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
575008;North American Aviation;T10307;9;1941;2000;fighter_design;aeronautics;avionics;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
575009;Southern Pacific Railroad;T10308;5;1900;2000;mechanics;general_equipment;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
575010;Standard Oil of California;T117;8;1900;2000;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
575011;Stanford University;T10310;5;1900;2000;electronics;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
575012;Western Pacific Railroad;T10311;5;1900;2000;mechanics;general_equipment;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
575013;The Presidio;T10312;6;1900;2000;small_unit_tactics;decentralized_execution;training;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
575014;California Maritime Academy;T10313;6;1900;2000;naval_training;seamanship;management;mechanics;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
575015;San Diego Naval Bases;T10314;7;1900;2000;submarine_tactics;seamanship;naval_training;carrier_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
575016;Muroc Army Air Field;T10315;5;1900;2000;piloting;bomber_tactics;fighter_tactics;aeronautics;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
