CYN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
615001;Yunnan Military Academy;100732;1;1907;1916;training;small_unit_tactics;infantry_focus;individual_courage;centralized_execution;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615002;Yunnan Military Academy;100732;2;1916;1928;training;small_unit_tactics;infantry_focus;individual_courage;centralized_execution;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615003;Yunnan Military Academy;100732;3;1928;1945;training;small_unit_tactics;infantry_focus;individual_courage;centralized_execution;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615004;Yunnan Military Academy;100732;4;1945;1999;training;small_unit_tactics;infantry_focus;individual_courage;centralized_execution;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615005;Southwest University;100733;1;1906;1926;mathematics;chemistry;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615006;Southwest University;100733;2;1926;1945;mathematics;chemistry;medicine;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615007;Southwest University;100733;4;1945;1999;mathematics;chemistry;medicine;industrial_engineering;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615008;Donglu University;100734;1;1922;1934;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615009;Yunnan University;100734;2;1934;1937;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615010;Yunnan University;100734;3;1937;1947;mathematics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615011;Yunnan University;100734;4;1947;1999;mathematics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615012;Jiangwu Officer Academy;100735;2;1909;1928;mountain_training;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615013;Yunnan Tin Company;100736;2;1883;1928;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615014;Yunnan Tin Company;100736;3;1928;1999;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615015;Yunnan Northern Optical Electronics;100737;1;1936;1999;general_equipment;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615016;Yunnan-Vietnam Railway Authority;100738;1;1904;1999;mechanics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615017;Long Yun;100739;2;1930;1999;centralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615018;Lu Han;100740;2;1930;1999;fighter_tactics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615019;Yunnan Ordnance Companies;100394;1;1900;1928;mechanics;artillery;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615020;Yunnan Ordnance Companies;100394;2;1928;1945;mechanics;artillery;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615021;Yunnan Ordnance Companies;100394;3;1945;1999;mechanics;artillery;chemistry;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615022;Shaoguan Yunnan Airplane Factory;100730;1;1936;1945;aeronautics;general_equipment;aircraft_testing;bomber_design;avionics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615023;Liang Jinshan;100741;2;1933;1977;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615024;Tang Jiyao;100065;2;1909;1928;large_unit_tactics;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615025;Cai E;100767;4;1900;1917;large_unit_tactics;infantry_focus;individual_courage;training;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615026;Central Machine Works;100777;3;1930;2000;industrial_engineering;mechanics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615027;53rd Arsenal;100768;3;1941;1999;mechanics;munitions;artillery;general_equipment;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
