CZE;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
120015;Frantisek Krizik;100075;5;1900;1942;mechanics;electronics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120006;Skoda;T1105;8;1900;2000;mechanics;industrial_engineering;technical_efficiency;artillery;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120010;Jaroslav Heyrovsky;T1109;6;1900;2000;mathematics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120011;Charles University Prague;T1110;5;1900;2000;mechanics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120013;Ustav jaderneho vyzkumu;100073;3;1940;2000;nuclear_physics;nuclear_engineering;mathematics;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120017;Zbrojovka Brno;100077;6;1930;2000;mechanics;general_equipment;training;artillery;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120004;C-K-D;T1103;7;1900;2000;mechanics;training;electronics;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120003;Ceská Zbrojovka;T1102;5;1900;2000;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120002;Avia;T1101;5;1919;2000;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120005;Letov;T1104;4;1920;2000;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120001;Aero;T1100;6;1930;2000;aeronautics;technical_efficiency;chemistry;bomber_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120012;Tatra;100072;5;1930;2000;mechanics;electronics;technical_efficiency;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120014;Praga;100074;6;1920;2000;mechanics;aeronautics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120007;Jaroslav Fajfr;100827;4;1930;1939;bomber_tactics;combined_arms_focus;training;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120008;Joseph Frantisek;T1107;5;1930;2000;fighter_tactics;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120009;Sergej Vojcechovský;T1108;4;1930;1951;training;small_unit_tactics;combined_arms_focus;decentralized_execution;mountain_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120016;Jan Syrovy;100076;6;1920;2000;centralized_execution;large_unit_tactics;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120018;Ludvik Svoboda;T4101;5;1937;2000;small_unit_tactics;decentralized_execution;combined_arms_focus;individual_courage;airborne_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
