ENG;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
10001;Alan Turing;T300;9;1935;1953;mathematics;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10002;Anglo-Persian Oil Company;T301;9;1908;2000;industrial_engineering;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10003;Avro;T302;7;1910;2000;bomber_design;aeronautics;avionics;technical_efficiency;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10004;Cammell Laird & Co.;T303;7;1828;2000;naval_engineering;submarine_design;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10005;De Havilland;T304;7;1920;2000;bomber_design;aeronautics;avionics;munitions;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10006;Enfield Arsenal;T305;7;1816;2000;mechanics;artillery;general_equipment;training;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10007;English Electric Company;T306;7;1918;2000;electronics;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10008;Harland & Wolff;T307;8;1861;2000;naval_engineering;naval_artillery;carrier_design;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10009;Hawker Aircraft;T308;7;1920;2000;fighter_design;aeronautics;mechanics;aircraft_testing;avionics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10010;James Chadwick;T309;7;1932;2000;nuclear_physics;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10011;John Brown & Co.;T310;6;1851;2000;naval_engineering;naval_artillery;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10012;Leyland Motors;T311;8;1896;2000;mechanics;technical_efficiency;artillery;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10013;Robert Watson-Watt;T312;7;1933;2000;electronics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10014;Royal Small Arms Factory;T313;6;1816;2000;mechanics;general_equipment;training;artillery;munitions;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10015;Supermarine;T314;6;1913;1930;fighter_design;aeronautics;general_equipment;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10016;Vauxhall Motors;T315;7;1907;2000;mechanics;vehicle_engineering;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10017;Vickers-Armstrong;T316;8;1927;2000;mechanics;vehicle_engineering;technical_efficiency;artillery;munitions;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10018;Alan Brooke;T317;6;1930;1963;centralized_execution;large_unit_tactics;combined_arms_focus;management;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10019;Andrew Cunningham;T318;8;1932;1963;naval_training;large_taskforce_tactics;centralized_execution;seamanship;carrier_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10020;Arthur Harris;T319;8;1941;2000;bomber_tactics;training;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10021;Basil Liddell-Hart;T320;8;1937;1940;decentralized_execution;small_unit_tactics;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10022;Charles Portal;T321;6;1935;2000;bomber_tactics;bomber_design;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10023;Dudley Clarke;100830;7;1940;2000;decentralized_execution;small_unit_tactics;airborne_training;Marine_Training;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10024;Dudley Pound;T323;6;1922;1943;large_taskforce_tactics;seamanship;naval_training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10025;Hugh Dowding;T324;8;1933;1942;fighter_tactics;training;piloting;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10026;Max Horton;T325;6;1937;1951;small_taskforce_tactics;naval_training;decentralized_execution;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10027;Percy Hobart;T326;6;1937;1957;combined_arms_focus;large_unit_tactics;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10028;Percy Noble;T327;5;1931;1955;small_taskforce_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10029;Trafford Leigh-Mallory;T328;6;1938;2000;fighter_tactics;training;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10030;Gloster: Frank Whittle;T329;7;1937;2000;fighter_design;aeronautics;rocketry;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10031;George Paget Thomson;T330;5;1930;2000;nuclear_physics;nuclear_engineering;chemistry;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10032;Earl Mountbatten;T331;5;1955;1965;small_taskforce_tactics;naval_training;decentralized_execution;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
