FLA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
650001;Cockerill;100033;6;1900;2000;naval_engineering;technical_efficiency;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
650002;Fairey;T701;6;1900;2000;aeronautics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
650003;Gevaert;T703;6;1900;2000;chemistry;general_equipment;industrial_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
650004;Renault;T705;5;1900;2000;mechanics;industrial_engineering;management;munitions;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
650005;Solvay;T706;7;1900;2000;chemistry;industrial_engineering;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
650006;Vickers-Armstrong;T707;8;1900;2000;mechanics;aeronautics;technical_efficiency;artillery;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
650007;La Brugeoise;T713;5;1900;2000;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
650008;Konrad Schellong;T4207;5;1940;2000;combined_arms_focus;decentralized_execution;large_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
650009;Jef François;T4208;3;1930;2000;combined_arms_focus;centralized_execution;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
650010;Ernst Junkermann;T4209;3;1940;2000;training;submarine_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
650011;Eggert Reeder;T4210;3;1940;2000;training;bomber_tactics;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
