GER;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
3;I.G. Farbenindustrie A.G.;T3;7;1925;2000;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
27;Vereinigte Stahlwerke A.G.;VSAG;8;1930;2000;industrial_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
39;Siemens A.G.;100128;8;1847;2000;electronics;industrial_engineering;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
28;Todt Organization;Todt;7;1938;2000;industrial_engineering;management;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
38;Allgemeine Elektricitäts-Gesellschaft;100139;6;1883;1996;aeronautics;electronics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9;Mauser-Werke GmbH ;100127;8;1900;2000;general_equipment;mechanics;training;munitions;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7;Friedrich Krupp A.G. ;100126;9;1900;2000;industrial_engineering;mechanics;technical_efficiency;artillery;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13;Rheinmetall A.G.;100004;7;1900;2000;artillery;mechanics;training;munitions;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
29;Daimler-Benz;Daim-B;7;1930;2000;mechanics;artillery;training;aeronautics;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30;Skoda Works;Skoda;8;1999;2000;mechanics;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1;Blohm und Voss, Hamburg;T1;7;1900;2000;naval_engineering;naval_artillery;technical_efficiency;submarine_design;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6;Kriegsmarinewerft, Wilhelmshaven;T6;8;1918;2000;naval_engineering;technical_efficiency;naval_artillery;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10;Messerschmitt A.G.;T10;8;1916;2000;fighter_design;aeronautics;rocketry;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4;Junkers Flugzeug A.G.;100078;8;1914;2000;bomber_design;aeronautics;munitions;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
26;Focke-Wulf Flugzeugbau GmbH;T26;8;1923;2000;fighter_design;aeronautics;avionics;aircraft_testing;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32;Dornier Werke GmbH;Dornier;7;1930;2000;aeronautics;naval_artillery;bomber_design;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17;Wernher von Braun;T17;9;1934;1976;rocketry;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
16;Kaiser-Wilhelm-Gesellschaft e.V.;KaiserW;8;1927;1976;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31;Jäger Kampfschule;100130;6;1900;2000;small_unit_tactics;Mountain_Training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
22;Heinz Guderian;T22;9;1937;1954;combined_arms_focus;small_unit_tactics;decentralized_execution;training;BLITZKRIEG_TACTICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
20;Erich von Manstein;T20;9;1935;2000;combined_arms_focus;small_unit_tactics;decentralized_execution;MANEUVER_TACTICS;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19;Erich Raeder;T19;6;1922;1960;large_taskforce_tactics;naval_training;seamanship;centralized_execution;;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25;Karl Dönitz;T25;8;1935;2000;submarine_tactics;submarine_design;seamanship;centralized_execution;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
21;Ernst Udet;T21;7;1918;1954;combined_arms_focus;piloting;fighter_tactics;bomber_tactics;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23;Hermann Göring;T23;4;1918;1960;bomber_tactics;piloting;airborne_training;centralized_execution;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24;Hugo Sperrle;T24;7;1938;2000;bomber_tactics;training;centralized_execution;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18;Adolf Galland;T18;6;1942;2000;fighter_tactics;piloting;fighter_design;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
40;Kurt Student;100146;7;1937;2000;airborne_training;general_equipment;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5;Konrad Zuse;T5;7;1935;2000;mathematics;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
