GRE;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
90001;GNAF;T1500;4;1900;2000;aeronautics;fighter_design;aircraft_testing;bomber_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90002;OASA;T1501;4;1900;2000;industrial_engineering;mechanics;electronics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90003;Royal Hellenic Naval Shipyard;T1502;4;1900;2000;naval_engineering;technical_efficiency;electronics;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90004;SPAP;T1503;5;1900;2000;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90005;Alexandros Papagos;T1504;3;1927;1955;small_unit_tactics;centralized_execution;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90006;Infantry Application School;T1505;4;1900;1960;general_equipment;training;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90007;Artillery Ballistics School;T1506;3;1900;1960;artillery;mechanics;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90008;Commercial and Industrial Academy;100404;6;1824;2000;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90009;Laurium Smelting Works;100152;4;1824;2000;industrial_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90010;Salamis Naval Yard;100153;4;1824;2000;naval_engineering;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90011;Hellenic Army;100154;5;1824;2000;general_equipment;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90012;Panagiotis Danglis;100155;5;1912;1924;centralized_execution;infantry_focus;small_unit_tactics;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90013;Crown Prince Constantinos;100405;5;1890;1913;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90014;Paulos Kountouriotis;100156;5;1912;1929;centralized_execution;small_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
900000;National Intelligence Service;T900000;7;1953;2013;rt_user_2;individual_courage;training;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
