ICL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
360001;Maritime Studies Faculty Rijeka;T11300;2;1945;2000;naval_training;seamanship;management;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
360002;University of Iceland;T11301;3;1900;2000;electronics;chemistry;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
360003;Reykjavik Military School;T10401;2;1900;2000;centralized_execution;large_unit_tactics;small_unit_tactics;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
360004;Reykjavik Arsenal;T2504;3;1900;2000;artillery;mechanics;munitions;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
360005;Icelandic Navy Dockyards;T3204;4;1900;2000;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
360006;Military Aeroplane Factory;T2501;3;1930;2000;aeronautics;fighter_design;bomber_design;aircraft_testing;avionics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
360007;Reykjavik Industrial Combine;T1414;4;1900;2000;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
360008;Kai Hammerich;T22007;4;1930;2000;centralized_execution;small_unit_tactics;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
360009;August Arendrup;T22008;3;1930;2000;submarine_tactics;naval_training;seamanship;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
360010;Asger E.V. Grandjean;T22009;3;1930;1948;bomber_tactics;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
