IRE;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
125001;Leyland;T4000;4;1900;2000;mechanics;technical_efficiency;artillery;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125002;Goulding Chemicals;100166;4;1900;2000;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125003;Lennox Chemicals;100167;4;1900;2000;chemistry;industrial_engineering;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125004;Military College;100168;4;1900;2000;small_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125005;Naval College;100169;3;1900;2000;naval_training;small_taskforce_tactics;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125006;Air Corps College;100170;3;1920;2000;bomber_tactics;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125007;Ernest T.S. Walton;100171;4;1930;2000;nuclear_physics;mathematics;management;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125008;Aer Lingus;100172;4;1930;2000;aeronautics;avionics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125009;Dublin Shipbuilding Yards;100173;4;1900;2000;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125010;Eoin MacNeill;100407;2;1890;1914;small_unit_tactics;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125011;GS&WR;100408;5;1844;1925;mechanics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125012;Alliance and Dublin Consumers' Gas Company;100166;2;1890;2000;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125013;McMullan Bros Ltd;100167;6;1920;2000;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125014;Michael Collins;100168;5;1914;1922;small_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125015;Irish Republican Army;100169;2;1919;1922;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125016;Irish National Army;100170;2;1922;2000;general_equipment;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125017;Richard Mulcahy;100171;4;1922;2000;small_unit_tactics;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125018;Irish Volunteers;100172;2;1913;1919;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125019;Royal Irish Army;100173;4;1970;2000;general_equipment;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
