JAP;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
50011;Sumitomo;T1910;6;1650;2000;electronics;chemistry;general_equipment;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50008;Mitsui;T1907;6;1683;1950;electronics;chemistry;general_equipment;industrial_engineering;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50029;Mitsui;T1907;8;1951;2000;electronics;chemistry;general_equipment;industrial_engineering;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50010;Nissan;T1909;6;1933;2000;electronics;industrial_engineering;mechanics;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50032;Komatsu;100208;6;1917;2000;industrial_engineering;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50012;Teiji Takagi;T1911;6;1900;1960;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50014;Yoshio Nishina;T1913;4;1928;1951;nuclear_physics;mathematics;chemistry;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50021;Sin-Itiro Tomonaga;T1920;5;1941;2000;nuclear_physics;mathematics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50026;Nippon Electric Company;T1925;5;1899;2000;chemistry;electronics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50059;Nitobe Inazo;100228;5;1891;1930;training;management;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50060;Tokyo Imperial University;100229;5;1877;1930;mathematics;chemistry;electronics;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50061;Tokyo Imperial University;100229;6;1931;2000;mathematics;chemistry;electronics;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
