KOR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
265001;Daewoo Shipbuilding;T13500;5;1900;2000;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
265002;Defense Construction Agency;T9800;6;1900;2000;mechanics;artillery;general_equipment;munitions;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
265003;Hyundai Heavy Industries;T13502;6;1900;2000;mechanics;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
265004;Korea Maritime University;T13503;4;1900;2000;naval_training;naval_engineering;management;mechanics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
265005;Korean Air Aerospace Division;T13504;4;1930;2000;aeronautics;aircraft_testing;fighter_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
265006;Kyongseong Precision;T13505;4;1944;2000;mechanics;industrial_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
265007;Laboratory of Army Research and Development Command;T9800;5;1900;2000;mathematics;chemistry;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
265008;Samsung;T13507;6;1938;2000;electronics;management;artillery;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
265009;Seoul National University;T13508;4;1946;2000;management;chemistry;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
265010;Seoul Military Academy;T10401;4;1900;2000;centralized_execution;small_unit_tactics;large_unit_tactics;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2650000;National Intelligence Service;T2650000;6;1961;2000;rt_user_2;small_unit_tactics;individual_courage;mathematics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
