LBY;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
495001;Libyan Ministry of Defence;T15500;2;1900;2000;mechanics;artillery;general_equipment;munitions;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
495002;National Military Academy;T10401;2;1900;2000;centralized_execution;piloting;infantry_focus;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
495003;Esso;T15502;5;1959;2000;industrial_engineering;chemistry;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
495004;Garyounis University;T15503;2;1956;2000;mathematics;chemistry;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
495005;Kufra Oasis;100510;1;1890;1935;industrial_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
495006;Libyan State Armaments;T6500;5;1999;2000;general_equipment;training;munitions;artillery;mechanics;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;x
495007;National Military Academy;T6502;5;1999;2000;decentralized_execution;individual_courage;infantry_focus;training;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
495009;Libyan State Aircraft;T308;4;1999;2000;fighter_design;aeronautics;mechanics;aircraft_testing;avionics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
495010;Garyounis University;T6504;5;1999;2000;mechanics;chemistry;management;industrial_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
495011;Libyan Naval Yards;T1;5;1999;2000;naval_engineering;naval_artillery;electronics;technical_efficiency;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
495012;Air Forces & Air Defence;T7110;4;1999;2000;centralized_execution;fighter_tactics;bomber_tactics;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4950000;Mukhabarat el-Jamahiriya;T4950000;5;1969;2011;rt_user_2;training;individual_courage;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
