MAN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
235001;South Manchuria Railway Co.;T6400;4;1906;2000;industrial_engineering;general_equipment;electronics;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
235002;Mansyu Hikoki Seizo;T6401;4;1930;2000;aeronautics;fighter_design;aircraft_testing;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
235003;Manchuria Colonial Development Organization;T6402;4;1900;2000;mechanics;management;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
235004;Heitaro Kimura;T6403;5;1940;2000;combined_arms_focus;individual_courage;small_unit_tactics;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
235005;Seishiro Itagaki;T6404;4;1930;1938;infantry_focus;individual_courage;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
235006;Manshu Teikoku RiKugun;T6405;6;1939;2000;combined_arms_focus;individual_courage;centralized_execution;large_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
235007;Oka Keijun;T6406;4;1939;2000;submarine_tactics;seamanship;naval_training;large_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
235008;Manshu Teikoku Kugun;T6405;3;1939;2000;centralized_execution;piloting;bomber_tactics;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
235009;Dowa Automobile Company;T1909;5;1930;2000;mechanics;electronics;artillery;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
235010;Manchukwo Zaibatsu Empire;T1902;4;1900;2000;industrial_engineering;management;mathematics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
235011;Mukden Arsenal;T1003;4;1900;2000;artillery;general_equipment;munitions;training;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
235012;Showa Steel Works;100004;5;1900;2000;industrial_engineering;mechanics;technical_efficiency;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
235013;Zhang Zuolin;100420;3;1911;2000;centralized_execution;small_unit_tactics;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
