MEN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Specialit  y4;Speciality5;Speciality6;Speciality7;Speciality8  ;Speciality9;Speciality10;Speciality11;Speciality1  2;Speciality13;Speciality14;Speciality15;Specialit  y16;Speciality17;Speciality18;Speciality19;Special  ity20;Speciality21;Speciality22;Speciality23;Speci  ality24;Speciality25;Speciality26;Speciality27;Spe  ciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
700001;Mengkukuo Railway Co.;T64000;4;1900;2000;industrial_engineering;general_equipment;electronics;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
700002;Hsingan bureau;T1909;5;1900;2000;industrial_engineering;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
700003;Mengkukuo Colonial Co.;T64002;4;1900;2000;mechanics;management;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
700004;Yoshio Kozuki;T64003;5;1940;2000;combined_arms_focus;individual_courage;small_unit_tactics;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
700005;Kanji Tsuneoka;100649;4;1930;1938;infantry_focus;individual_courage;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
700006;Kumataro Honda;T64005;6;1939;2000;combined_arms_focus;individual_courage;centralized_execution;large_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
700007;Yoshijiro Umezu;T64007;3;1939;2000;training;piloting;bomber_tactics;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
700008;Hohhot Arsenal;100004;5;1900;2000;mechanics;munitions;artillery;general_equipment;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
700009;Mengkukuo Zaibatsu Empire;T1902;4;1900;2000;industrial_engineering;management;mathematics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
700010;Kalgan Central Academy;T1003;4;1900;2000;artillery;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
700011;Kalgan Defence Minister;T1003;3;1900;2000;combined_arms_focus;individual_courage;large_unit_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
