MTN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
390001;Budva Dockyard;T3802;3;1900;2000;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
390002;Montenegro Defence Ministry;T15601;3;1900;2000;mechanics;artillery;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
390003;National Railways of Montenegro;T3805;5;1900;2000;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
390004;Podgorica Arsenal;T3812;5;1900;2000;general_equipment;mechanics;artillery;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
390005;University of Montenegro;T15604;1;1900;2000;mechanics;chemistry;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
390006;Podgorica Military Academy;T10401;2;1900;2000;large_unit_tactics;small_unit_tactics;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
390007;Montenegrin Army;100241;5;1890;2000;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
390008;Nicholas I of Montenegro;100242;2;1870;1921;decentralized_execution;small_unit_tactics;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
390009;Bar Railway;100243;2;1914;2000;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
390010;Montenegrin Agriculture;100244;1;1890;1914;mechanics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
390011;Royal Armed Yacht Rumija;100245;2;1905;2000;naval_training;seamanship;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
390012;Brodogradiliste Bijela;100246;2;1927;2000;naval_engineering;mechanics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
