OTT;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
720001;Tophane-i Amire;100256;3;1742;1933;chemistry;industrial_engineering;management;general_equipment;munitions;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;
720002;Tersane-i Amire Istanbul;100252;3;1870;1933;artillery;vehicle_engineering;munitions;naval_artillery;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720003;MKEK;100253;4;1921;1933;chemistry;mathematics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720004;THK;100255;3;1925;1933;aeronautics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720005;Istanbul University;100257;3;1846;1933;chemistry;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720006;Tayyare Mektebi San Stefano;T3506;3;1912;1933;training;piloting;fighter_tactics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720007;Midhat Nuri;100258;4;1914;1933;piloting;fighter_tactics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720008;Gülhane Askeri Tip Akademisi;100254;3;1898;1933;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720009;Deniz Harp Okulu;100260;4;1773;1933;training;naval_training;seamanship;marine_training;large_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720010;Nuri Yamut;T3511;3;1930;1933;small_unit_tactics;centralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720011;Vecihi Hürkush;100059;4;1918;1933;aeronautics;aircraft_testing;avionics;bomber_design;fighter_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720012;Istanbul Technical University;100261;4;1871;1933;industrial_engineering;management;mathematics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720013;Haddehane Mektebi;team_noimage;3;1914;1933;mathematics;naval_artillery;naval_engineering;submarine_design;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720014;Hüseyin Rauf;100263;3;1914;1933;large_taskforce_tactics;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720015;Hasan Izzet;100266;4;1914;1933;large_unit_tactics;large_unit_focus;static_defense_tactics;infantry_focus;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720016;Mekteb-i Harbiye;100267;3;1890;1933;mountain_training;small_unit_tactics;individual_courage;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720017;Golçuk Shipyards;T3500;4;1933;1970;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720018;Istanbul Valde Shipyard;T3501;5;1933;1970;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720019;KTF;T3502;4;1933;1970;aeronautics;bomber_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720020;MKEK;T3503;5;1933;1970;chemistry;mathematics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720021;THK;T3504;4;1933;1970;aeronautics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720022;Turkish Petroleum Company;T3505;3;1933;1970;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720023;Air War Academy;T3506;4;1933;1970;fighter_tactics;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720024;Erkan Gataly;T3507;3;1933;1970;bomber_tactics;training;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720025;Fevzi Cakmak;T3508;4;1933;1945;large_unit_tactics;centralized_execution;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720026;Naval Academy;T3509;4;1933;1970;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720027;Mehmet Ali Üngen;T3510;5;1933;1970;centralized_execution;large_taskforce_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720028;Mehmet Nuri Yamut;T3511;4;1933;1961;small_unit_tactics;centralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720029;Istanbul Military Industries;T1103;4;1933;1970;artillery;mechanics;general_equipment;munitions;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720030;Istanbul University;T3513;4;1933;1970;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720031;Erich Serno;100259;8;1914;1933;training;piloting;fighter_tactics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720032;Otto von Lossow;100325;7;1914;1933;large_unit_tactics;large_unit_focus;static_defense_tactics;infantry_focus;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720033;Hans Humann;team_noimage;6;1914;1933;large_taskforce_tactics;small_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720034;Georg Mayer;100703;7;1914;1933;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
