PHI;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
325001;Benguet Consolidated Mining Company;T6900;3;1900;2000;mechanics;industrial_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
325002;Elizalde & Co.;T6901;6;1900;2000;industrial_engineering;chemistry;naval_engineering;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
325003;Manila Electric Company;T6902;5;1900;2000;industrial_engineering;electronics;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
325004;Manila Railway Company;T6903;3;1900;2000;mechanics;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
325005;Douglas MacArthur;T6904;6;1930;1942;small_unit_tactics;decentralized_execution;training;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
325006;Philippine Army Academy;T6905;3;1900;2000;small_unit_tactics;decentralized_execution;training;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
325007;University of Santo Tomas;T6906;3;1900;2000;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
325008;Phillippine Air Force;T6907;5;1936;2000;centralized_execution;fighter_tactics;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
325009;Vicente Lim;100614;4;1936;1944;small_unit_tactics;infantry_focus;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
325010;Rigoberto Atienza;100615;3;1944;1966;small_unit_tactics;infantry_focus;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
325011;Gregorio Zara;100616;5;1937;1966;aeronautics;technical_efficiency;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
325012;Julian Banzon;100617;4;1941;1988;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3250120;NICA;T3250120;4;1949;2000;rt_user_2;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
