PRU;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
185001;El Callao;T2600;4;1900;2000;naval_engineering;industrial_engineering;training;mechanics;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
185002;FNA;T2601;3;1930;2000;aeronautics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
185003;Cooperación del Peru;T2602;4;1900;2000;industrial_engineering;mechanics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
185004;Transporte de Picos SA;T2603;4;1900;2000;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
185005;Chorillos Military Academy;T2604;4;1900;2000;small_unit_tactics;decentralized_execution;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
185006;Ramón Castillo;T2605;3;1930;1940;large_unit_tactics;centralized_execution;individual_courage;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
185007;Navy General Staff College;T2606;5;1900;2000;large_taskforce_tactics;seamanship;naval_training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
185008;Luis Navarreté;T2607;4;1942;1960;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
185009;Paul de Beaudiez;T2608;5;1930;1939;training;general_equipment;fighter_tactics;piloting;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
185010;Fernando M. Quesada Blanco;T2609;4;1941;1960;fighter_tactics;piloting;training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
185011;Pedro Paulet;T2610;5;1930;1945;rocketry;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
185012;Southern and Central Railroads;T2600;3;1910;2000;industrial_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
185013;Pacific Steam Navigation Company;T2601;3;1890;2000;naval_engineering;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
185014;Sapolio;T2602;3;1890;2000;industrial_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
185015;Ejercito de Peru;T2603;3;1890;2000;general_equipment;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1850150;SIN;T1850150;4;1960;2000;rt_user_2;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
