SAU;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
295001;Standard Oil of California;T117;5;1900;1970;industrial_engineering;chemistry;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
295002;King Saud University;T8602;3;1940;1970;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2950020;Al Mukhabarat Al A'amah;T2950020;3;1955;2000;rt_user_2;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2950021;King Abdulaziz Military Academy;T2950021;2;1955;2000;centralized_execution;small_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2950022;Military Industries Corpration;T2950022;2;1950;2000;artillery;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2950023;College of Petroleum and Minerals;T2950023;4;1963;2000;chemistry;industrial_engineering;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2950024;Al Rajihi Bank;T2950024;3;1958;2000;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2950025;Saudi Bin Laden Group;T2950025;4;1931;2000;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2950026;Saudi Oger;T2950026;3;1978;2000;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2950027;SABIC;T2950027;4;1976;2000;industrial_engineering;management;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2950028;Zamil Offshore Services;T2950028;2;1977;2000;naval_engineering;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2950029;Abdullah Al Faris and Sons Ltd.;T2950029;2;1976;2000;management;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2950030;Vinnel Arabia;T2950030;6;1975;2000;decentralized_execution;centralized_execution;infantry_focus;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
