SCH;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
80001;Brown, Boveri & Cie;100288;7;1891;2000;industrial_engineering;mechanics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
80002;Dornier Werke Schweiz;T3301;6;1900;2000;aeronautics;bomber_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
80003;EKW;T3302;5;1900;2000;aeronautics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
80004;Furrer;T3303;5;1900;2000;mechanics;general_equipment;artillery;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
80005;La Roche;T3304;5;1900;2000;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
80006;Maschinenfabrik Oerlikon;T3305;7;1876;2000;mechanics;artillery;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
80007;Oederlin Metallwaren;T3306;5;1900;2000;mechanics;industrial_engineering;general_equipment;artillery;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
80008;Sandoz;T3307;6;1900;2000;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
80009;SIG;T3308;6;1900;2000;mechanics;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
80010;Sulzer;T3309;7;1900;2000;mechanics;industrial_engineering;management;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
80011;Etienne Primault;T3310;6;1942;1960;fighter_tactics;training;piloting;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
80012;Fritz Rihner;T3311;5;1930;1960;bomber_tactics;combined_arms_focus;centralized_execution;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
80013;Henri Guisan;T3312;5;1930;1954;training;decentralized_execution;combined_arms_focus;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
80014;Wolfgang Pauli;T609;8;1937;1941;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
80015;Paul Chaudet;T3314;4;1955;1967;piloting;decentralized_execution;combined_arms_focus;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
80016;Paul Scherrer;T3315;6;1930;1969;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
80017;Waffenfabrik Bern;100289;6;1890;2000;general_equipment;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
80018;Häfeli Air Works;100484;3;1914;2000;aeronautics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
80019;Schweizerische Kreditanstalt;100290;8;1856;2000;management;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
80020;Michel Plancherel;100291;6;1911;1930;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
80021;Ulrich Wille;100292;5;1914;1930;centralized_execution;small_unit_tactics;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
80022;Theodor Real;100293;5;1914;1917;centralized_execution;fighter_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
80023;Walter Scherrer;100294;5;1917;1919;centralized_execution;fighter_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
80024;Arnold Isler;100295;5;1919;1930;centralized_execution;fighter_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
80025;Albert Müller;100296;5;1920;1930;centralized_execution;fighter_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
800250;DDPS;T800250;5;1848;2000;rt_user_2;individual_courage;training;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
