SER;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
415001;Belgrade University;100297;3;1808;2000;mechanics;management;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415002;Ikarus;T3800;4;1923;2000;aeronautics;bomber_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415003;Industrija Aeroplanskih Motora;T3801;3;1927;2000;industrial_engineering;mechanics;technical_efficiency;aeronautics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415004;Jadransko Brodogradiliste;T3802;3;1927;2000;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415005;Memorandum Teleoptik;T3803;5;1922;2000;industrial_engineering;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415006;Mikron;T3804;4;1931;2000;industrial_engineering;electronics;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415007;Serbian State Railways;100298;5;1900;2000;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415008;Zastava Arsenal;T3812;5;1900;2000;general_equipment;mechanics;artillery;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415009;Zivojin Rogozarski;100299;3;1924;1946;aeronautics;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415010;ZMAJ;T3807;4;1927;1946;naval_engineering;aeronautics;fighter_design;avionics;aircraft_Testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415011;Belgrade Military Academy;T10401;3;1900;2000;centralized_execution;decentralized_execution;large_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415012;Mihailo Marcep Airplane Workshop;100300;2;1914;1923;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415013;Beogradsko Brodogradiliste;100301;3;1908;2000;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415014;Radomir Putnik;100302;5;1906;1916;centralized_execution;large_unit_focus;large_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415015;Zivojin Misic;100303;5;1912;1921;decentralized_execution;infantry_focus;individual_courage;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415016;Sartid Smederevo;100304;4;1913;1930;industrial_engineering;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415017;Barutana Obilicevo;100305;5;1890;1930;general_equipment;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415018;Topolivnica Kragujevac;100306;5;1890;1930;general_equipment;mechanics;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415019;Petar Bojovic;100307;4;1916;1930;centralized_execution;infantry_focus;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415020;Branko Vukosavljevic;100308;2;1916;1919;fighter_tactics;piloting;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415021;Kosta Miletic;100309;2;1912;1923;bomber_tactics;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415022;Mihailo Petrovic Alas;100468;3;1894;1938;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
