SIA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
290001;Luang Phibunsongkhram;T9100;3;1930;1957;individual_courage;infantry_focus;centralized_execution;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
290002;Marshal of the Navy;T9101;3;1900;2000;small_taskforce_tactics;naval_training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
290003;Luang Kajsongkram;T9102;4;1942;1960;bomber_tactics;piloting;training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
290004;Luang Sinthusongkhramchai;T9103;2;1930;1944;fighter_tactics;piloting;training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
290005;Bangkok Dockyard;T6;3;1900;2000;naval_engineering;technical_efficiency;naval_artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
290006;Bangkok Arsenal;100004;4;1900;2000;mechanics;artillery;training;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
290007;Royal Aeronautical Services;T6401;4;1930;2000;aeronautics;artillery;mechanics;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
290008;Siam Cement;T10504;5;1900;2000;industrial_engineering;chemistry;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
290009;Siam Electricity Company;T2704;5;1900;2000;industrial_engineering;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
290010;Thammasat University;T9109;3;1900;2000;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
290011;Sarit Dhanarajata;T9110;4;1957;2000;individual_courage;infantry_focus;centralized_execution;small_unit_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
290012;Bank of Thailand;T9111;2;1943;2000;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
