SIB;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
520001;Chaplygin Siberian Scientific Research Institute of Aviation;T13100;7;1941;2000;aeronautics;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
520002;Chkalov Aeronautical Industries;T13101;5;1930;2000;aeronautics;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
520003;Irkutsk Aviation Industrial Association;T13102;5;1930;2000;avionics;fighter_design;rocketry;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
520004;Nizny Tagil Factories;T3712;4;1900;2000;mechanics;technical_efficiency;industrial_engineering;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
520005;Novosibirsk Institute of Electrical Engineering;T13104;4;1950;2000;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
520006;Novosibirsk National Tin Factory;T10504;3;1900;2000;industrial_engineering;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
520007;Novosibirsk Oil Processing;T10504;4;1900;2000;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
520008;Novosibirsk Radio Components Plant;T13107;4;1900;2000;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
520009;Omsk Engine Design Bureau;T13108;4;1900;2000;munitions;mechanics;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
520010;PO Sibselmash;T13109;5;1900;2000;management;industrial_engineering;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
520011;Ulan-Ude Aviation Plant;T13110;5;1900;2000;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
520012;Siberian Military Academy;T10401;4;1900;2000;centralized_execution;decentralized_execution;large_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
