SLO;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
280001;Dubnica Machines Plant;T1103;7;1910;2000;mechanics;training;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
280002;Jan Golian;T4102;5;1941;1942;large_unit_tactics;centralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
280003;Comenius University;T4103;3;1930;2000;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
280004;Ministry of Defence;T4104;4;1900;2000;aeronautics;electronics;artillery;general_equipment;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
280005;Apollo refinery;100310;4;1920;2000;industrial_engineering;chemistry;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
280006;Povazska Bystrica Airforce Factory;T1604;5;1935;2000;aeronautics;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
280007;Ironworks Pobrezova;100311;3;1900;2000;industrial_engineering;technical_efficiency;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
280008;Dynamit Nobel;100312;4;1930;2000;chemistry;general_equipment;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
280009;Ferdinand Catlos;100313;5;1930;2000;small_unit_tactics;training;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
280010;Jur Hronec;100314;7;1920;2000;mathematics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
280011;Komarnanske Lodenice;100315;2;1920;2000;naval_engineering;naval_artillery;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
280012;Rudolf Bozik;100316;4;1940;2000;piloting;fighter_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
