SLV;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
525001;Institut Jozef Stefan;T13300;3;1949;2000;nuclear_physics;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
525002;Iskra;T13301;3;1960;2000;aeronautics;electronics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
525003;Melamin;T13302;4;1954;2000;chemistry;industrial_engineering;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
525004;MLM;T13303;4;1924;2000;management;technical_efficiency;mechanics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
525005;Svila;T13304;5;1928;2000;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
525006;Univerza v Ljubljani;T13305;3;1919;2000;mathematics;chemistry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
525007;Ministry of Defence;T13310;3;1900;2000;centralized_execution;small_unit_tactics;combined_arms_focus;infantry_focus;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
525008;Leon Rupnik;100628;4;1933;1948;large_unit_tactics;infantry_focus;centralized_execution;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
525009;Josip Plemelj;100629;3;1930;1957;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
525010;Franc Rozman;100630;3;1949;2000;individual_courage;centralized_execution;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
