TEX;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
780001;Convair;T13800;6;1943;2000;aeronautics;bomber_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
780002;Fort Bliss Air Defence Center;T13801;6;1942;2000;artillery;electronics;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
780003;Consolidated Steel Corp.;T13802;5;1941;2000;naval_engineering;naval_artillery;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
780004;Houston Shipbuilding Corporation;T13803;6;1900;2000;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
780005;Humble Oil and Refining Company;T13804;7;1900;2000;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
780006;Lone Star Aviation;T13805;6;1920;2000;aeronautics;fighter_design;aircraft_testing;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
780007;Southern Pacific Railroad;T13806;5;1900;2000;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
780008;Texas & Pacific Railroad;T13807;6;1900;2000;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
780009;Texas A&M University;T13808;5;1900;2000;mechanics;chemistry;training;small_unit_tactics;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
780010;Texas Oil Company;T118;8;1900;2000;industrial_engineering;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
780011;University of Texas;T13810;4;1900;2000;mechanics;management;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
780012;White Sands Proving Ground;T13811;6;1900;2000;rocketry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
780013;Fort Hood;T13812;7;1900;2000;infantry_focus;centralized_execution;combined_arms_focus;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
780014;Houston Naval Bases;T13803;6;1900;2000;submarine_tactics;carrier_tactics;large_taskforce_tactics;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
780015;Naval Air Station Corpus Christi;T13814;5;1920;2000;fighter_tactics;piloting;aeronautics;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
780016;San Antonio Aviation Cadet Center;T13815;5;1940;2000;centralized_execution;bomber_tactics;fighter_tactics;combined_arms_focus;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
780017;Edwin Anderson Walker;100622;4;1944;2000;centralized_execution;combined_arms_focus;training;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
780018;Douglas Corrigan;100623;5;1934;1950;mechanics;aeronautics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
780019;Audie Leon Murphy;100624;5;1950;2000;decentralized_execution;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
