UKR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
545001;61 Kommunara Nikolayev Shipyards;T3700;4;1900;2000;naval_engineering;electronics;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
545002;Antonov Design Bureau;T14001;6;1946;2000;aeronautics;bomber_design;general_equipment;rocketry;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
545003;Beriev Design Bureau;T14002;6;1934;2000;aeronautics;fighter_design;aircraft_testing;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
545004;Charkov Factory Design Bureau;T3702;7;1927;2000;mechanics;artillery;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
545005;Chernomorsky Shipbuilding Yard;T14004;5;1900;2000;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
545006;Kharkov Aviation Institute;T14005;6;1930;2000;aeronautics;management;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
545007;Kiev University;T14006;3;1900;2000;management;chemistry;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
545008;Morozov Design Bureau;T14007;5;1928;2000;mechanics;artillery;technical_efficiency;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
545009;Motor-Sich;T14008;5;1915;2000;mechanics;electronics;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
545010;Tupolev Design Bureau;T3714;5;1922;2000;aeronautics;bomber_design;rocketry;technical_efficiency;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
545011;Kiev Military Academy;T10401;4;1900;2000;large_unit_tactics;combined_arms_focus;infantry_focus;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
545012;Odessa State Maritime Academy;T14011;4;1944;2000;naval_training;seamanship;submarine_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
545013;Charkov Air Command Center;T10402;4;1920;2000;centralized_execution;bomber_tactics;fighter_tactics;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
