VIC;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
230001;Felix Amiot;T1401;6;1930;2000;aeronautics;bomber_design;aircraft_testing;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
230002;Emile Dewoitine;T1403;4;1930;2000;fighter_design;general_equipment;aeronautics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
230003;FAMH;T1404;4;1930;2000;mechanics;training;electronics;general_equipment;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
230004;Kuhlmann;T1407;3;1930;2000;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
230005;Manufacture d'Armes St.Etienne;T1408;5;1930;2000;munitions;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
230006;Rhône-Poulenc;T1411;3;1930;2000;chemistry;industrial_engineering;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
230007;Schneider;100118;4;1930;2000;vehicle_engineering;mechanics;electronics;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
230008;SNPA;T1414;4;1941;2000;industrial_engineering;chemistry;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
230009;SOMUA;T1415;5;1930;2000;mechanics;industrial_engineering;vehicle_engineering;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
230010;François Darlan;T1418;3;1930;1951;large_taskforce_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
230011;Marcel Gensoul;T1420;4;1930;2000;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
230012;Maurice Gamelin;T1422;1;1930;1958;centralized_execution;large_unit_tactics;individual_courage;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
230013;Maxime Weygand;T1423;2;1940;1942;centralized_execution;large_unit_tactics;individual_courage;infantry_focus;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
230014;Charles Nogues;T6623;2;1940;2000;centralized_execution;large_unit_tactics;combined_arms_focus;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
230015;Academie de Chasseurs Alpins;100384;6;1930;2000;artillery;mountain_training;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
230016;Societe des Avions Marcel Bloch;100385;5;1930;1945;avionics;aeronautics;bomber_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
