MODIFIER;INF;CAV;MOT;MECH;L ARM;ARM;PARA;MAR;MTN;GAR;HQ;MIL;MR F;INT F;STR B;TAC B;NAV B;CAS;TRA P;FL B;FL R;BB;CL;CA;BC;DD;CV;CVL;SUB;NSUB;TRA;CV;INT F;rsv_33;rsv_34;rsv_35;rsv_36;rsv_37;rsv_38;rsv_39;rsv_40;d_01;d_02;d_03;d_04;d_05;d_06;d_07;d_08;d_09;d_10;d_11;d_12;d_13;d_14;d_15;d_16;d_17;d_18;d_19;d_20;X
ATT_CLEAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
ATT_BLIZZARD;-85;-85;-85;-85;-85;-85;-85;-85;-85;-85;-85;-85;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;0;-99;-99;0;0;0;0;0;0;0;0;-85;-85;-85;-85;-85;-85;-45;-85;-99;-85;-85;-99;-99;-99;-99;-99;-99;-99;-99;-99;X
ATT_SNOW;-40;-40;-40;-40;-40;-40;-40;-40;-30;-40;-40;-40;-50;-50;-50;-50;-50;-50;-50;0;0;-50;-50;-50;-50;-50;-50;-50;-50;-50;0;-50;-50;0;0;0;0;0;0;0;0;-30;-40;-40;-40;-30;-30;-10;-40;-50;-40;-40;-50;-50;-50;-50;-50;-50;-50;-50;-50;X
ATT_FROZEN;-25;-25;-25;-50;-50;-40;-25;-25;-15;-25;-25;-25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15;-25;-50;-40;-15;-15;0;-25;0;-25;-25;0;0;0;0;0;0;0;0;0;X
ATT_RAIN;-20;-20;-20;-20;-20;-20;-20;-30;-20;-20;-20;-20;-30;-30;-30;-30;-30;-30;-30;0;0;-20;-20;-20;-20;-20;-20;-20;-20;-20;0;-20;-30;0;0;0;0;0;0;0;0;-20;-20;-20;-20;-20;-20;-20;-20;-30;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-30;X
ATT_STORM;-65;-65;-65;-65;-65;-65;-65;-85;-65;-65;-65;-65;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;0;-99;-99;0;0;0;0;0;0;0;0;-65;-65;-65;-65;-65;-65;-65;-65;-99;-65;-65;-99;-99;-99;-99;-99;-99;-99;-99;-99;X
ATT_MUDDY;-20;-65;-65;-65;-65;-65;-15;-15;-15;-20;-20;-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15;-65;-65;-65;-15;-15;-20;-20;0;-20;-65;0;0;0;0;0;0;0;0;35;X
ATT_NIGHT;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;0;0;-50;-50;-50;-50;-50;-80;-80;10;10;-50;-80;-90;0;0;0;0;0;0;0;0;-90;-90;-90;-90;-90;-70;-90;-90;-95;-90;-90;-50;10;10;-50;-50;-50;-50;-50;-95;X
ATT_PLAIN;0;0;0;0;0;0;0;0;0;0;0;-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;X
ATT_DESERT;-70;-30;-35;-30;-30;-15;-65;-70;-70;-70;-70;-50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-70;-35;-30;-15;-70;-70;-70;-70;0;-70;-30;0;0;0;0;0;0;0;0;10;X
